Date (Mth),Transaction Type, Number 
May-11,Sales - Off Plan, 519 
May-11,Sales - Ready," 1,634 "
Apr-11,Sales - Ready," 1,790 "
Apr-11,Sales - Off Plan, 363 
Mar-11,Sales - Ready," 2,350 "
Mar-11,Sales - Off Plan, 206 
Feb-11,Sales - Ready," 2,175 "
Feb-11,Sales - Off Plan, 148 
Jan-11,Sales - Off Plan, 162 
Jan-11,Sales - Ready," 2,176 "
Dec-10,Sales - Ready," 1,198 "
Dec-10,Sales - Off Plan, 311 
Nov-10,Sales - Ready," 1,358 "
Nov-10,Sales - Off Plan, 15 
Oct-10,Sales - Ready," 1,708 "
Oct-10,Sales - Off Plan, 616 
Sep-10,Sales - Ready," 1,336 "
Sep-10,Sales - Off Plan, 304 
Aug-10,Sales - Off Plan, 341 
Aug-10,Sales - Ready," 2,942 "
Jul-10,Sales - Off Plan, 524 
Jul-10,Sales - Ready," 2,368 "
Jun-10,Sales - Ready," 2,882 "
Jun-10,Sales - Off Plan," 2,016 "
May-10,Sales - Ready," 2,338 "
May-10,Sales - Off Plan, 854 
Apr-10,Sales - Off Plan," 1,472 "
Apr-10,Sales - Ready," 1,963 "
Mar-10,Sales - Ready," 2,572 "
Mar-10,Sales - Off Plan," 6,421 "
Feb-10,Sales - Off Plan," 2,854 "
Feb-10,Sales - Ready," 1,571 "
Jan-10,Sales - Ready, 783 
Jan-10,Sales - Off Plan," 1,916 "
Dec-09,Sales - Off Plan," 2,222 "
Dec-09,Sales - Ready," 2,260 "
Nov-09,Sales - Ready," 2,015 "
Nov-09,Sales - Off Plan," 1,360 "
Oct-09,Sales - Off Plan," 2,783 "
Oct-09,Sales - Ready," 1,961 "
Sep-09,Sales - Off Plan," 2,842 "
Sep-09,Sales - Ready," 1,716 "
Aug-09,Sales - Ready," 1,864 "
Aug-09,Sales - Off Plan," 7,706 "
Jul-09,Sales - Ready," 1,900 "
Jul-09,Sales - Off Plan," 7,122 "
Jun-09,Sales - Ready," 3,223 "
Jun-09,Sales - Off Plan," 7,923 "
May-09,Sales - Off Plan," 8,239 "
May-09,Sales - Ready," 2,259 "
Apr-09,Sales - Ready," 3,116 "
Apr-09,Sales - Off Plan," 8,347 "
Mar-09,Sales - Ready," 2,487 "
Mar-09,Sales - Off Plan," 2,186 "
Feb-09,Sales - Off Plan," 1,115 "
Feb-09,Sales - Ready," 2,215 "
Jan-09,Sales - Ready," 3,371 "
Jan-09,Sales - Off Plan, 950 
Dec-08,Sales - Off Plan, 1 
Dec-08,Sales - Ready," 1,668 "
Nov-08,Sales - Off Plan, 7 
Nov-08,Sales - Ready," 2,974 "
Oct-08,Sales - Ready," 1,638 "
Oct-08,Sales - Off Plan, 1 
Sep-08,Sales - Off Plan, 3 
Sep-08,Sales - Ready," 1,421 "
Aug-08,Sales - Ready," 2,109 "
Aug-08,Sales - Off Plan, 10 
Jul-08,Sales - Ready," 1,853 "
Jul-08,Sales - Off Plan, 5 
Jun-08,Sales - Ready," 1,523 "
Jun-08,Sales - Off Plan, 5 
May-08,Sales - Off Plan, 6 
May-08,Sales - Ready," 1,389 "
Apr-08,Sales - Off Plan, 10 
Apr-08,Sales - Ready," 1,652 "
Mar-08,Sales - Ready," 1,152 "
Mar-08,Sales - Off Plan, 7 
Feb-08,Sales - Off Plan, 12 
Feb-08,Sales - Ready, 631 
Jan-08,Sales - Off Plan, 5 
Jan-08,Sales - Ready, 839 
Dec-07,Sales - Ready, 689 
Dec-07,Sales - Off Plan, 9 
Nov-07,Sales - Off Plan, 3 
Nov-07,Sales - Ready, 951 
Oct-07,Sales - Ready," 1,012 "
Oct-07,Sales - Off Plan, 13 
Sep-07,Sales - Ready, 800 
Sep-07,Sales - Off Plan, 28 
Aug-07,Sales - Ready, 595 
Aug-07,Sales - Off Plan, 5 
Jul-07,Sales - Off Plan, 6 
Jul-07,Sales - Ready, 694 
Jun-07,Sales - Off Plan, 12 
Jun-07,Sales - Ready, 585 
May-07,Sales - Off Plan, 3 
May-07,Sales - Ready, 272 
Apr-07,Sales - Ready, 173 
Apr-07,Sales - Off Plan, 13 
Mar-07,Sales - Off Plan, 5 
Mar-07,Sales - Ready, 249 
Feb-07,Sales - Ready, 87 
Feb-07,Sales - Off Plan, 2 
Jan-07,Sales - Off Plan, 4 
Jan-07,Sales - Ready, 179 
