Date (Mth),Transaction Type, Value (AED Billions) , Number 
Jun-14,Sales - Ready," 4,884,161,687 "," 2,405 "
May-14,Sales - Off Plan," 1,938,112,666 "," 1,269 "
May-14,Sales - Ready," 4,385,699,796 "," 2,231 "
Apr-14,Sales - Ready," 6,099,667,576 "," 2,827 "
Apr-14,Sales - Off Plan," 2,222,632,644 "," 1,358 "
Mar-14,Sales - Ready," 6,228,918,194 "," 1,256 "
Mar-14,Sales - Off Plan," 2,224,169,942 "," 3,056 "
Feb-14,Sales - Ready," 4,053,644,496 ", 466 
Feb-14,Sales - Off Plan," 882,925,669 "," 2,099 "
Jan-14,Sales - Off Plan," 2,202,991,801 ", 844 
Jan-14,Sales - Ready," 4,590,148,847 "," 2,559 "
Dec-13,Sales - Off Plan," 7,595,319,565 "," 4,024 "
Dec-13,Sales - Ready," 5,508,915,699 "," 2,983 "
Nov-13,Sales - Ready," 4,246,479,492 "," 1,076 "
Nov-13,Sales - Off Plan," 2,140,894,670 "," 2,119 "
Oct-13,Sales - Off Plan," 3,718,638,901 "," 1,666 "
Oct-13,Sales - Ready," 8,593,309,985 "," 4,757 "
Sep-13,Sales - Ready," 6,745,205,034 "," 1,515 "
Sep-13,Sales - Off Plan," 2,071,538,649 "," 3,957 "
Aug-13,Sales - Off Plan," 943,189,519 "," 2,069 "
Aug-13,Sales - Ready," 3,693,553,021 ", 444 
Jul-13,Sales - Off Plan," 1,753,261,350 ", 881 
Jul-13,Sales - Ready," 5,930,720,544 "," 2,922 "
Jun-13,Sales - Ready," 5,214,820,810 ", 765 
Jun-13,Sales - Off Plan," 1,493,095,423 "," 2,711 "
May-13,Sales - Ready," 5,816,902,094 ", 697 
May-13,Sales - Off Plan," 1,404,346,442 "," 3,092 "
Apr-13,Sales - Ready," 5,181,687,714 ", 527 
Apr-13,Sales - Off Plan," 991,960,698 "," 2,918 "
Mar-13,Sales - Ready," 4,938,686,884 "," 2,803 "
Mar-13,Sales - Off Plan," 985,120,175 ", 452 
Feb-13,Sales - Ready," 4,650,059,586 "," 2,710 "
Feb-13,Sales - Off Plan," 843,595,709 ", 565 
Jan-13,Sales - Ready," 4,403,613,427 ", 478 
Jan-13,Sales - Off Plan," 1,772,429,137 "," 2,609 "
Dec-12,Sales - Ready," 6,404,249,164 "," 3,890 "
Dec-12,Sales - Off Plan," 968,540,281 ", 469 
Nov-12,Sales - Off Plan," 1,643,827,287 ", 696 
Nov-12,Sales - Ready," 3,106,604,991 "," 1,860 "
Oct-12,Sales - Off Plan," 985,085,929 ", 454 
Oct-12,Sales - Ready," 3,692,849,142 "," 2,459 "
Sep-12,Sales - Off Plan," 720,765,033 ", 355 
Sep-12,Sales - Ready," 2,984,825,105 "," 1,993 "
Aug-12,Sales - Off Plan," 406,303,055 ", 230 
Aug-12,Sales - Ready," 1,966,929,709 "," 1,204 "
Jul-12,Sales - Ready," 2,933,207,468 ", 569 
Jul-12,Sales - Off Plan," 751,603,270 "," 1,761 "
Jun-12,Sales - Off Plan," 404,810,464 ", 312 
Jun-12,Sales - Ready," 2,709,228,176 "," 1,520 "
May-12,Sales - Ready," 3,227,398,643 ", 288 
May-12,Sales - Off Plan," 447,288,810 "," 1,781 "
Apr-12,Sales - Off Plan," 382,344,653 ", 221 
Apr-12,Sales - Ready," 3,435,228,128 "," 1,904 "
Mar-12,Sales - Ready," 2,991,184,049 ", 337 
Mar-12,Sales - Off Plan," 442,083,568 "," 1,782 "
Feb-12,Sales - Off Plan," 369,032,250 "," 1,872 "
Feb-12,Sales - Ready," 2,969,117,559 ", 271 
Jan-12,Sales - Off Plan," 411,436,509 "," 1,926 "
Jan-12,Sales - Ready," 2,664,198,140 ", 251 
Dec-11,Sales - Ready," 2,987,161,850 "," 1,964 "
Dec-11,Sales - Off Plan," 296,497,116 ", 223 
Nov-11,Sales - Ready," 1,981,958,994 ", 185 
Nov-11,Sales - Off Plan," 287,795,763 "," 1,180 "
Oct-11,Sales - Off Plan," 286,606,725 "," 1,689 "
Oct-11,Sales - Ready," 2,641,326,987 ", 381 
Sep-11,Sales - Off Plan," 380,722,772 ", 323 
Sep-11,Sales - Ready," 2,055,579,027 "," 1,201 "
Aug-11,Sales - Ready," 1,828,003,455 "," 1,228 "
Aug-11,Sales - Off Plan," 715,291,742 ", 340 
Jul-11,Sales - Off Plan," 622,195,288 ", 463 
Jul-11,Sales - Ready," 2,991,505,281 "," 1,711 "
Jun-11,Sales - Off Plan," 322,196,324 "," 1,548 "
Jun-11,Sales - Ready," 2,598,207,623 ", 277 
May-11,Sales - Off Plan," 573,827,718 ", 519 
May-11,Sales - Ready," 2,701,343,146 "," 1,634 "
Apr-11,Sales - Off Plan," 386,469,401 "," 1,790 "
Apr-11,Sales - Ready," 3,164,899,842 ", 363 
Mar-11,Sales - Ready," 3,843,795,727 "," 2,350 "
Mar-11,Sales - Off Plan," 307,805,302 ", 206 
Feb-11,Sales - Ready," 3,206,366,721 "," 2,175 "
Feb-11,Sales - Off Plan," 156,190,965 ", 148 
Jan-11,Sales - Off Plan," 176,858,183 ", 162 
Jan-11,Sales - Ready," 3,522,458,084 "," 2,176 "
Dec-10,Sales - Off Plan," 644,583,456 "," 1,198 "
Dec-10,Sales - Ready," 2,102,267,813 ", 311 
Nov-10,Sales - Ready," 2,589,891,032 "," 1,358 "
Nov-10,Sales - Off Plan," 14,387,392 ", 15 
Oct-10,Sales - Ready," 2,938,298,911 "," 1,708 "
Oct-10,Sales - Off Plan," 664,824,694 ", 616 
Sep-10,Sales - Off Plan," 353,279,523 "," 1,336 "
Sep-10,Sales - Ready," 2,253,473,090 ", 304 
Aug-10,Sales - Off Plan," 451,764,743 ", 341 
Aug-10,Sales - Ready," 4,592,266,604 "," 2,942 "
Jul-10,Sales - Ready," 3,743,588,208 ", 524 
Jul-10,Sales - Off Plan," 481,436,265 "," 2,368 "
Jun-10,Sales - Off Plan," 2,187,010,609 "," 2,882 "
Jun-10,Sales - Ready," 4,034,082,015 "," 2,016 "
May-10,Sales - Ready," 3,496,611,278 "," 2,338 "
May-10,Sales - Off Plan," 1,157,635,561 ", 854 
Apr-10,Sales - Ready," 2,618,964,792 "," 1,472 "
Apr-10,Sales - Off Plan," 3,329,743,583 "," 1,963 "
Mar-10,Sales - Ready," 3,660,796,039 "," 2,572 "
Mar-10,Sales - Off Plan," 9,267,564,780 "," 6,421 "
Feb-10,Sales - Off Plan," 3,691,746,002 "," 2,854 "
Feb-10,Sales - Ready," 2,545,491,113 "," 1,571 "
Jan-10,Sales - Off Plan," 2,813,687,284 ", 783 
Jan-10,Sales - Ready," 1,296,478,335 "," 1,916 "
Dec-09,Sales - Off Plan," 4,174,796,198 "," 2,222 "
Dec-09,Sales - Ready," 4,912,832,061 "," 2,260 "
Nov-09,Sales - Ready," 2,407,307,256 "," 2,015 "
Nov-09,Sales - Off Plan," 1,876,512,674 "," 1,360 "
Oct-09,Sales - Ready," 2,632,434,842 "," 2,783 "
Oct-09,Sales - Off Plan," 2,910,198,945 "," 1,961 "
Sep-09,Sales - Ready," 2,457,569,592 "," 2,842 "
Sep-09,Sales - Off Plan," 3,599,162,351 "," 1,716 "
Aug-09,Sales - Ready," 2,670,589,330 "," 1,864 "
Aug-09,Sales - Off Plan," 8,793,652,802 "," 7,706 "
Jul-09,Sales - Off Plan," 9,833,684,194 "," 1,900 "
Jul-09,Sales - Ready," 2,679,800,459 "," 7,122 "
Jun-09,Sales - Ready," 4,245,453,469 "," 3,223 "
Jun-09,Sales - Off Plan," 14,002,686,405 "," 7,923 "
May-09,Sales - Off Plan," 12,530,997,365 "," 8,239 "
May-09,Sales - Ready," 2,702,955,398 "," 2,259 "
Apr-09,Sales - Ready," 3,730,229,032 "," 3,116 "
Apr-09,Sales - Off Plan," 10,568,912,481 "," 8,347 "
Mar-09,Sales - Ready," 2,430,692,358 "," 2,487 "
Mar-09,Sales - Off Plan," 4,751,805,568 "," 2,186 "
Feb-09,Sales - Ready," 2,083,789,310 "," 1,115 "
Feb-09,Sales - Off Plan," 2,717,250,715 "," 2,215 "
Jan-09,Sales - Off Plan," 1,539,541,404 "," 3,371 "
Jan-09,Sales - Ready," 2,934,855,101 ", 950 
Dec-08,Sales - Ready," 1,750,249,569 ", 1 
Dec-08,Sales - Off Plan," 1,836,000 "," 1,668 "
Nov-08,Sales - Ready," 3,658,390,846 ", 7 
Nov-08,Sales - Off Plan," 13,260,018 "," 2,974 "
Oct-08,Sales - Ready," 2,632,146,076 "," 1,638 "
Oct-08,Sales - Off Plan," 2,795,000 ", 1 
Sep-08,Sales - Ready," 2,311,983,244 ", 3 
Sep-08,Sales - Off Plan," 4,704,344 "," 1,421 "
Aug-08,Sales - Off Plan," 7,947,224 "," 2,109 "
Aug-08,Sales - Ready," 3,447,914,861 ", 10 
Jul-08,Sales - Ready," 3,853,790,636 "," 1,853 "
Jul-08,Sales - Off Plan," 10,008,688 ", 5 
Jun-08,Sales - Ready," 3,467,881,872 "," 1,523 "
Jun-08,Sales - Off Plan," 4,809,320 ", 5 
May-08,Sales - Off Plan," 6,014,430 ", 6 
May-08,Sales - Ready," 3,506,359,404 "," 1,389 "
Apr-08,Sales - Off Plan," 19,900,468 ", 10 
Apr-08,Sales - Ready," 3,718,583,221 "," 1,652 "
Mar-08,Sales - Ready," 2,312,544,335 "," 1,152 "
Mar-08,Sales - Off Plan," 6,733,517 ", 7 
Feb-08,Sales - Ready," 1,488,149,950 ", 12 
Feb-08,Sales - Off Plan," 19,167,716 ", 631 
Jan-08,Sales - Ready," 1,737,707,215 ", 5 
Jan-08,Sales - Off Plan," 9,899,987 ", 839 
Dec-07,Sales - Ready," 1,251,947,039 ", 689 
Dec-07,Sales - Off Plan," 7,308,802 ", 9 
Nov-07,Sales - Off Plan," 3,229,370 ", 3 
Nov-07,Sales - Ready," 1,337,808,112 ", 951 
Oct-07,Sales - Ready," 1,243,217,967 "," 1,012 "
Oct-07,Sales - Off Plan," 20,209,940 ", 13 
Sep-07,Sales - Ready," 945,168,721 ", 800 
Sep-07,Sales - Off Plan," 16,321,912 ", 28 
Aug-07,Sales - Off Plan," 7,486,500 ", 595 
Aug-07,Sales - Ready," 821,840,613 ", 5 
Jul-07,Sales - Off Plan," 8,895,369 ", 6 
Jul-07,Sales - Ready," 1,186,963,106 ", 694 
Jun-07,Sales - Off Plan," 13,631,788 ", 12 
Jun-07,Sales - Ready," 807,001,033 ", 585 
May-07,Sales - Ready," 698,302,809 ", 3 
May-07,Sales - Off Plan," 5,656,000 ", 272 
Apr-07,Sales - Ready," 513,736,000 ", 173 
Apr-07,Sales - Off Plan," 15,303,888 ", 13 
Mar-07,Sales - Off Plan," 11,868,912 ", 5 
Mar-07,Sales - Ready," 694,923,384 ", 249 
Feb-07,Sales - Ready," 261,435,813 ", 87 
Feb-07,Sales - Off Plan," 3,498,738 ", 2 
Jan-07,Sales - Ready," 437,592,778 ", 4 
Jan-07,Sales - Off Plan," 6,646,626 ", 179 
