,gsId,name,type,enrollment,gsRating,parentRating,district,address,lat,lon,geometry,neighborhood
138,6403,Marshall Elementary School,public,251.0,3.0,4.0,San Francisco Unified School District,"1575 15th Street, 
San Francisco, CA  94103",37.766678000000006,-122.41909,POINT (-122.41909 37.76667800000001),Mission
141,6407,McKinley Elementary School,public,384.0,7.0,5.0,San Francisco Unified School District,"1025 14th Street, 
San Francisco, CA  94114",37.767227,-122.43659,POINT (-122.43659 37.767227),Corona Heights
142,6406,Mccoppin (Frank) Elementary School,public,218.0,7.0,4.0,San Francisco Unified School District,"651 Sixth Avenue, 
San Francisco, CA  94118",37.776283,-122.46401000000002,POINT (-122.46401 37.776283),Inner Richmond
143,9764,Meadows-Livingstone School,private,19.0,5.396694214876033,5.0,,"1499 Potrero Avenue, 
San Francisco, CA  94110",37.749603,-122.40506,POINT (-122.40506 37.749603),Potrero Hill
144,8103,Mercy High School,private,395.0,5.396694214876033,4.0,,"3250 19th Avenue, 
San Francisco, CA  94132",37.729416,-122.47386999999999,POINT (-122.47387 37.729416),Stonestown
145,6408,Milk (Harvey) Civil Rights Elementary School,public,238.0,2.0,4.0,San Francisco Unified School District,"4235 19th Street, 
San Francisco, CA  94114",37.759147999999996,-122.43633999999999,POINT (-122.43634 37.759148),Eureka Valley
147,6409,Miraloma Elementary School,public,390.0,8.0,5.0,San Francisco Unified School District,"175 Omar Way, 
San Francisco, CA  94127",37.739307000000004,-122.45021000000001,POINT (-122.45021 37.739307),Miraloma Park
148,8104,Mission Dolores Academy,private,258.0,5.396694214876033,4.0,,"3371 16th Street, 
San Francisco, CA  94114",37.7642,-122.42843,POINT (-122.42843 37.7642),Mission Dolores
149,6410,Mission Education Center,public,131.0,1.0,5.0,San Francisco Unified School District,"1670 Noe Street, 
San Francisco, CA  94131",37.742283,-122.43106,POINT (-122.43106 37.742283),Noe Valley
150,6411,Mission High School,public,1058.0,1.0,4.0,San Francisco Unified School District,"3750 18th Street, 
San Francisco, CA  94114",37.761402000000004,-122.42728000000001,POINT (-122.42728 37.761402),Mission Dolores
151,25813,Mission Preparatory School,charter,426.0,10.0,5.0,San Francisco Unified School District,"1050 York Street, 
San Francisco, CA  94110",37.75544,-122.40857,POINT (-122.40857 37.75544),Mission
152,6412,Monroe Elementary School,public,511.0,5.0,4.0,San Francisco Unified School District,"260 Madrid Street, 
San Francisco, CA  94112",37.725224,-122.43012,POINT (-122.43012 37.725224),Excelsior
153,12920,Montessori House of Children School,private,110.0,5.396694214876033,4.0,,"1187 Franklin Street, 
San Francisco, CA  94109",37.78529,-122.42329,POINT (-122.42329 37.78529),Cathedral Hill
154,6413,Moscone (George R.) Elementary School,public,370.0,5.0,4.0,San Francisco Unified School District,"2576 Harrison Street, 
San Francisco, CA  94110",37.756240000000005,-122.4123,POINT (-122.4123 37.75624000000001),Mission
155,31537,Mt. Vernon Christian Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"59 Caine Avenue, 
San Francisco, CA  94112",37.71714,-122.450356,POINT (-122.450356 37.71714),Oceanview
156,17359,Muhammad University of Islam,private,379.1877551020408,5.396694214876033,5.0,,"5048 Third Street, 
San Francisco, CA  94124",37.732788,-122.39178000000001,POINT (-122.39178 37.732788),Silver Terrace
157,6414,Muir (John) Elementary School,public,265.0,4.0,4.0,San Francisco Unified School District,"380 Webster Street, 
San Francisco, CA  94117",37.77369,-122.42908999999999,POINT (-122.42909 37.77369),Lower Haight
158,31695,My City School,private,9.0,5.396694214876033,5.0,,"855 27th ave, San Francisco, CA 94121, 
San Francisco, CA  94114",37.764324,-122.43841,POINT (-122.43841 37.764324),Corona Heights
159,6415,New Traditions Elementary School,public,260.0,9.0,4.0,San Francisco Unified School District,"2049 Grove Street, 
San Francisco, CA  94117",37.77431,-122.45031999999999,POINT (-122.45032 37.77431),Panhandle
160,6417,O'connell (John) High School,public,319.0,2.0,4.0,San Francisco Unified School District,"2355 Folsom Street, 
San Francisco, CA  94110",37.759632,-122.41468,POINT (-122.41468 37.759632),Mission
161,8470,Oakes Children's Center,private,18.0,5.396694214876033,5.0,,"1550 Treat Avenue, 
San Francisco, CA  94110",37.74593,-122.41268000000001,POINT (-122.41268 37.74593),Bernal Heights
162,26292,Oaks Christian Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"135 Evelyn Way, 
San Francisco, CA  94127",37.743107,-122.45257,POINT (-122.45257 37.743107),Miraloma Park
163,13053,Olympia Institute,private,379.1877551020408,5.396694214876033,3.0,,"950 Clement Street, 
San Francisco, CA  94118",37.782726000000004,-122.469505,POINT (-122.469505 37.782726),Inner Richmond
164,26293,One Fifty Parker Avenue School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"150 Parker Avenue, 
San Francisco, CA  94118",37.782818,-122.4541,POINT (-122.4541 37.782818),Laurel Heights / Jordan Park
165,32188,One Purpose,charter,72.0,1.0,4.183673469387755,Sbe - Onepurpose School District,"948 Hollister Avenue, 
San Francisco, CA  94124",37.71833,-122.38988,POINT (-122.38988 37.71833),Bret Harte
166,6418,Ortega (Jose) Elementary School,public,393.0,7.0,5.0,San Francisco Unified School District,"400 Sargent Street, 
San Francisco, CA  94132",37.716167,-122.46625,POINT (-122.46625 37.716167),Merced Heights
167,8105,Our Lady Of The Visitacion Elementary School,private,258.0,5.396694214876033,4.0,,"785 Sunnydale Avenue, 
San Francisco, CA  94134",37.7094,-122.40916000000001,POINT (-122.40916 37.7094),Visitacion Valley
168,6419,Parker (Jean) Elementary School,public,267.0,6.0,4.0,San Francisco Unified School District,"840 Broadway Street, 
San Francisco, CA  94133",37.79732,-122.4111,POINT (-122.4111 37.79732),Russian Hill
169,6420,Parks (Rosa) Elementary School,public,461.0,4.0,5.0,San Francisco Unified School District,"1501 O'farrell Street, 
San Francisco, CA  94115",37.78368,-122.42945,POINT (-122.42945 37.78368),Western Addition
171,6421,Peabody (George) Elementary School,public,276.0,9.0,5.0,San Francisco Unified School District,"251 Sixth Avenue, 
San Francisco, CA  94118",37.783947,-122.46456,POINT (-122.46456 37.783947),Inner Richmond
173,8857,Presidio Hill School,private,220.0,5.396694214876033,4.0,,"3839 Washington St, 
San Francisco, CA  94118",37.788845,-122.45624,POINT (-122.45624 37.788845),Presidio Heights
174,25505,Presidio Knolls School,private,380.0,5.396694214876033,5.0,,"250 10th Street, 
San Francisco, CA  94103",37.772945,-122.41362,POINT (-122.41362 37.772945),South of Market
175,6423,Presidio Middle School,public,1100.0,8.0,4.0,San Francisco Unified School District,"450 30th Avenue, 
San Francisco, CA  94121",37.78083,-122.4901,POINT (-122.4901 37.78083),Outer Richmond
176,6424,Redding Elementary School,public,255.0,6.0,4.0,San Francisco Unified School District,"1421 Pine Street, 
San Francisco, CA  94109",37.789726,-122.41921,POINT (-122.41921 37.789726),Lower Nob Hill
177,6425,Revere (Paul) Elementary School,public,462.0,1.0,4.0,San Francisco Unified School District,"555 Tompkins Avenue, 
San Francisco, CA  94110",37.737140000000004,-122.41317,POINT (-122.41317 37.73714),Bernal Heights
178,9866,Rise Institute,private,34.0,5.396694214876033,4.183673469387755,,"1760 Cesar Chavez Street, Suites Rs, 
San Francisco, CA  94124",37.750465000000005,-122.39495,POINT (-122.39495 37.75046500000001),Potrero Hill
180,6426,Rooftop Elementary School,public,586.0,6.0,4.0,San Francisco Unified School District,"443 Burnett Avenue, 
San Francisco, CA  94131",37.754417,-122.44388000000001,POINT (-122.44388 37.754417),Upper Market
181,6427,Roosevelt Middle School,public,698.0,9.0,4.0,San Francisco Unified School District,"460 Arguello Boulevard, 
San Francisco, CA  94118",37.78225,-122.45895,POINT (-122.45895 37.78225),Inner Richmond
182,15297,Russian American International School,private,64.0,5.396694214876033,5.0,,"3301 Balboa Street, 
San Francisco, CA  94121",37.77564,-122.49428600000002,POINT (-122.494286 37.77564),Outer Richmond
183,13785,S.F. County Civic Center Secondary,public,143.0,5.396694214876033,1.0,San Francisco County Office Of Education School District,"727 Golden Gate Avenue, 
San Francisco, CA  94102",37.78069,-122.42308,POINT (-122.42308 37.78069),Civic Center
184,11135,S.F. County Opportunity (Hilltop) School,public,56.0,5.396694214876033,1.0,San Francisco County Office Of Education School District,"1325 Florida St, 
San Francisco, CA  94110",37.75074,-122.4098,POINT (-122.4098 37.75074),Mission
185,12608,S.F. County Special Education School,public,79.0,5.396694214876033,4.183673469387755,San Francisco County Office Of Education School District,"3045 Santiago St, 
San Francisco, CA  94116",37.743843,-122.49989,POINT (-122.49989 37.743843),Outer Sunset
186,25018,S.F. International High School,public,302.0,2.0,4.0,San Francisco Unified School District,"1050 York Street, 
San Francisco, CA  94110",37.75521,-122.40843999999998,POINT (-122.40844 37.75521),Mission
187,26526,SIATech at Treasure Island,charter,201.0,5.396694214876033,4.183673469387755,,"351 Avenue H, 
San Francisco, CA  94130",37.824314,-122.36912,POINT (-122.36912 37.824314),Treasure Island
188,8108,Sacred Heart Cathedral Preparatory,private,1340.0,5.396694214876033,4.0,,"1055 Ellis Street, 
San Francisco, CA  94109",37.78326,-122.423515,POINT (-122.423515 37.78326),Cathedral Hill
189,8109,Saint Anne School,private,347.0,5.396694214876033,4.0,,"1320 14th Avenue, 
San Francisco, CA  94122",37.76338,-122.47143999999999,POINT (-122.47144 37.76338),Inner Sunset
190,8131,Saint Vincent De Paul,private,270.0,5.396694214876033,3.0,,"2350 Green Street, 
San Francisco, CA  94123",37.795864,-122.437836,POINT (-122.437836 37.795864),Cow Hollow
191,9049,San Francisco Adventist,private,33.0,5.396694214876033,5.0,,"66 Geneva Avenue, 
San Francisco, CA  94112",37.72175,-122.45111999999999,POINT (-122.45112 37.72175),Oceanview
192,25509,San Francisco Brightworks,private,88.0,5.396694214876033,5.0,,"360 9th Avenue, 
San Francisco, CA  94110",37.762190000000004,-122.41019399999999,POINT (-122.410194 37.76219),Mission
193,8668,San Francisco Christian School,private,240.0,5.396694214876033,4.0,,"25 Whittier Street, 
San Francisco, CA  94112",37.710068,-122.44773,POINT (-122.44773 37.710068),Crocker Amazon
194,11493,San Francisco City Academy,private,118.0,5.396694214876033,5.0,,"230 Jones Street, 
San Francisco, CA  94102",37.783497,-122.41241000000001,POINT (-122.41241 37.783497),Tenderloin
195,6430,San Francisco Community Alternative School,public,290.0,3.0,4.0,San Francisco Unified School District,"125 Excelsior Avenue, 
San Francisco, CA  94112",37.725815000000004,-122.43262,POINT (-122.43262 37.725815),Excelsior
196,14999,San Francisco County Rop School,public,379.1877551020408,5.396694214876033,4.183673469387755,San Francisco County Rop School District,"750 25th Avenue, 
San Francisco, CA  94121",37.775303,-122.48436000000001,POINT (-122.48436 37.775303),Outer Richmond
197,9871,San Francisco Day School,private,352.0,5.396694214876033,5.0,,"350 Masonic Avenue, 
San Francisco, CA  94118",37.778040000000004,-122.44628,POINT (-122.44628 37.77804),Western Addition
198,31539,San Francisco Expeditionary School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"2960 Broadway Street, 
San Francisco, CA  94115",37.793186,-122.44588999999999,POINT (-122.44589 37.793186),Pacific Heights
199,13615,San Francisco Friends School,private,436.0,5.396694214876033,4.0,,"250 Valencia Street, 
San Francisco, CA  94103",37.76898,-122.422905,POINT (-122.422905 37.76898),Mission Dolores
200,26289,San Francisco High School of the Arts ,private,41.0,5.396694214876033,4.183673469387755,,"--, 
San Francisco, CA  94117",37.77053,-122.45283,POINT (-122.45283 37.77053),Haight Ashbury
201,31540,San Francisco Pacific Academy,private,80.0,5.396694214876033,5.0,,"3301 Balboa Street, 
San Francisco, CA  94121",37.77564,-122.49428600000002,POINT (-122.494286 37.77564),Outer Richmond
202,25336,San Francisco Public Montessori School,public,171.0,6.0,4.0,San Francisco Unified School District,"2340 Jackson Street, 
San Francisco, CA  94115",37.792618,-122.43354,POINT (-122.43354 37.792618),Pacific Heights
203,8490,"San Francisco School, The",private,281.0,5.396694214876033,5.0,,"300 Gaven Street, 
San Francisco, CA  94134",37.73278,-122.4117,POINT (-122.4117 37.73278),Portola
204,25498,San Francisco Schoolhouse,private,60.0,5.396694214876033,5.0,,"301 14th Avenue, 
San Francisco, CA  94118",37.78217,-122.47321000000001,POINT (-122.47321 37.78217),Inner Richmond
205,8685,San Francisco University High School,private,400.0,5.396694214876033,5.0,,"3065 Jackson Street, 
San Francisco, CA  94115",37.790936,-122.44542,POINT (-122.44542 37.790936),Pacific Heights
206,31018,San Francisco Waldorf High School,private,150.0,5.396694214876033,4.183673469387755,,"470 West Portal Ave., 
San Francisco, CA  94127",37.735855,-122.47158999999999,POINT (-122.47159 37.735855),West Portal
207,9265,San Francisco Waldorf School,private,472.0,5.396694214876033,4.0,,"2938 Washington Street, 
San Francisco, CA  94115",37.790688,-122.44168,POINT (-122.44168 37.790688),Pacific Heights
208,6428,Sanchez Elementary School,public,281.0,1.0,4.0,San Francisco Unified School District,"325 Sanchez Street, 
San Francisco, CA  94114",37.76396,-122.4308,POINT (-122.4308 37.76396),Mission Dolores
209,15298,Sand Paths Academy,private,379.1877551020408,5.396694214876033,5.0,,"1218 South Van Ness Avenue, 
San Francisco, CA  94110",37.753468,-122.41672,POINT (-122.41672 37.753468),Mission
210,11496,Seneca Center,private,379.1877551020408,5.396694214876033,4.183673469387755,,"887 Potrero Avenue, 
San Francisco, CA  94110",37.758465,-122.406525,POINT (-122.406525 37.758465),Potrero Hill
211,10119,Senior Martin College Preparatory School,private,379.1877551020408,5.396694214876033,5.0,,"P.O. Box 347215, 
San Francisco, CA  94134",37.720203000000005,-122.40991000000001,POINT (-122.40991 37.72020300000001),Portola
212,6429,Serra (Junipero) Elementary School,public,290.0,5.0,5.0,San Francisco Unified School District,"625 Holly Park Circle, 
San Francisco, CA  94110",37.736732,-122.42113,POINT (-122.42113 37.736732),Holly Park
213,31542,Shalom School Dba Bais Menacehm Yeshiva Day School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"862 28th Avenue, 
San Francisco, CA  94121",37.773132000000004,-122.48711999999999,POINT (-122.48712 37.773132),Outer Richmond
214,6431,Sheridan Elementary School,public,215.0,3.0,4.0,San Francisco Unified School District,"431 Capitol Avenue, 
San Francisco, CA  94112",37.714333,-122.45913,POINT (-122.45913 37.714333),Oceanview
215,6432,Sherman Elementary School,public,384.0,7.0,4.0,San Francisco Unified School District,"1651 Union Street, 
San Francisco, CA  94123",37.79827,-122.4262,POINT (-122.4262 37.79827),Union Street
216,6433,Sloat (Commodore) Elementary School,public,395.0,8.0,4.0,San Francisco Unified School District,"50 Darien Way, 
San Francisco, CA  94127",37.73188,-122.47096,POINT (-122.47096 37.73188),Balboa Terrace
219,31536,Spanish Infusión School,private,140.0,5.396694214876033,4.183673469387755,,"117 Diamond Street, 
San Francisco, CA  94114",37.760155,-122.43687,POINT (-122.43687 37.760155),Castro
220,16593,"Spectrum Center, Inc",private,379.1877551020408,5.396694214876033,4.183673469387755,,"95 Gough Street, 
San Francisco, CA  94102",37.774,-122.4224,POINT (-122.4224 37.774),Civic Center
220,16593,"Spectrum Center, Inc",private,379.1877551020408,5.396694214876033,4.183673469387755,,"95 Gough Street, 
San Francisco, CA  94102",37.774,-122.4224,POINT (-122.4224 37.774),Lower Haight
221,6434,Spring Valley Elementary School,public,349.0,5.0,5.0,San Francisco Unified School District,"1451 Jackson Street, 
San Francisco, CA  94109",37.794403,-122.41899,POINT (-122.41899 37.794403),Nob Hill
223,8102,St John S Elementary School,private,228.0,5.396694214876033,4.0,,"925 Chenery Street, 
San Francisco, CA  94131",37.735073,-122.43786999999999,POINT (-122.43787 37.735073),Glen Park
224,8110,St. Anthony Immaculate Conception,private,113.0,5.396694214876033,4.0,,"299 Precita Avenue, 
San Francisco, CA  94110",37.747505,-122.41386999999999,POINT (-122.41387 37.747505),Bernal Heights
225,8111,St. Brendan Elementary School,private,311.0,5.396694214876033,4.0,,"940 Laguna Honda Boulevard, 
San Francisco, CA  94127",37.7428,-122.45648999999999,POINT (-122.45649 37.7428),Laguna Honda
226,8112,St. Brigid School,private,255.0,5.396694214876033,4.0,,"2250 Franklin Street, San Francisco, CA 94109, 
San Francisco, CA  94109",37.795359999999995,-122.42485,POINT (-122.42485 37.79536),Pacific Heights
227,8113,St. Cecilia Elementary School,private,593.0,5.396694214876033,5.0,,"660 Vicente Street, 
San Francisco, CA  94116",37.73981,-122.47417,POINT (-122.47417 37.73981),West Portal
228,8114,St. Charles Elementary School,private,102.0,5.396694214876033,4.0,,"3250 18th Street, 
San Francisco, CA  94110",37.762245,-122.41643,POINT (-122.41643 37.762245),Mission
229,8116,St. Elizabeth School,private,379.1877551020408,5.396694214876033,5.0,,"450 Somerset St, 
San Francisco, CA  94134",37.725956,-122.40732,POINT (-122.40732 37.725956),Portola
230,8118,St. Finn Barr,private,235.0,5.396694214876033,5.0,,"419 Hearst Avenue, 
San Francisco, CA  94112",37.730377000000004,-122.44751000000001,POINT (-122.44751 37.730377),Sunnyside
231,8119,St. Gabriel Elementary School,private,467.0,5.396694214876033,4.0,,"2550 41st Avenue, 
San Francisco, CA  94116",37.7395,-122.49888,POINT (-122.49888 37.7395),Outer Sunset
232,8120,St. Ignatius College Preparatory School,private,1478.0,5.396694214876033,5.0,,"2001 37th Avenue, 
San Francisco, CA  94116",37.74807,-122.49593,POINT (-122.49593 37.74807),Outer Sunset
233,8121,St. James School,private,170.0,5.396694214876033,4.0,,"321 Fair Oaks Street, 
San Francisco, CA  94110",37.75132,-122.42395,POINT (-122.42395 37.75132),Dolores Heights
234,11503,St. John Of San Francisco Orthodox Acade,private,49.0,5.396694214876033,4.0,,"6210 Geary Boulevard, 
San Francisco, CA  94121",37.780224,-122.48595,POINT (-122.48595 37.780224),Outer Richmond
