,neighborhood,arson,assault,bad checks,bribery,burglary,disorderly conduct,driving under the influence,drug/narcotic,drunkenness,embezzlement,extortion,family offenses,forgery/counterfeiting,fraud,gambling,kidnapping,larceny/theft,liquor laws,loitering,missing person,non-criminal,other offenses,pornography/obscene mat,prostitution,recovered vehicle,robbery,runaway,secondary codes,"sex offenses, forcible","sex offenses, non forcible",stolen property,suicide,suspicious occ,trea,trespass,vandalism,vehicle theft,warrants,weapon laws,totalincidents
90,Produce Market,14.0,90.0,1.0,0.0,74.0,3.0,6.0,40.0,1.0,1.0,1.0,0.0,4.0,6.0,0.0,3.0,177.0,1.0,6.0,5.0,87.0,277.0,0.0,1.0,23.0,29.0,0.0,7.0,1.0,0.0,6.0,2.0,44.0,0.0,9.0,55.0,144.0,70.0,19.0,1207.0
91,Rincon Hill,2.0,93.0,2.0,1.0,69.0,5.0,3.0,11.0,4.0,3.0,2.0,0.0,18.0,41.0,0.0,2.0,769.0,0.0,14.0,19.0,164.0,144.0,0.0,0.0,5.0,15.0,0.0,10.0,7.0,1.0,3.0,1.0,45.0,0.0,15.0,117.0,103.0,28.0,11.0,1727.0
92,Russian Hill,9.0,230.0,0.0,0.0,276.0,15.0,8.0,53.0,7.0,5.0,1.0,1.0,31.0,70.0,1.0,9.0,1337.0,0.0,1.0,74.0,432.0,421.0,0.0,7.0,11.0,89.0,6.0,36.0,19.0,0.0,32.0,3.0,128.0,0.0,30.0,272.0,454.0,74.0,31.0,4173.0
93,Seacliff,0.0,4.0,0.0,0.0,29.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,69.0,0.0,0.0,6.0,37.0,27.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,2.0,20.0,23.0,4.0,3.0,265.0
94,Sherwood Forest,0.0,10.0,1.0,0.0,18.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,46.0,0.0,0.0,6.0,23.0,17.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,8.0,19.0,1.0,4.0,188.0
95,Showplace Square,7.0,103.0,2.0,1.0,123.0,45.0,4.0,56.0,6.0,11.0,0.0,0.0,23.0,36.0,0.0,2.0,983.0,0.0,6.0,13.0,181.0,368.0,0.0,5.0,13.0,34.0,0.0,20.0,5.0,0.0,13.0,0.0,76.0,0.0,71.0,138.0,144.0,116.0,20.0,2625.0
96,Silver Terrace,14.0,591.0,0.0,5.0,113.0,9.0,14.0,240.0,14.0,4.0,1.0,2.0,40.0,67.0,0.0,15.0,361.0,7.0,2.0,1013.0,345.0,1106.0,0.0,1.0,16.0,157.0,46.0,89.0,30.0,1.0,23.0,1.0,228.0,0.0,21.0,234.0,302.0,229.0,74.0,5415.0
97,South Beach,2.0,152.0,0.0,1.0,183.0,7.0,1.0,20.0,31.0,4.0,1.0,2.0,36.0,50.0,0.0,7.0,926.0,18.0,0.0,29.0,295.0,289.0,0.0,5.0,4.0,17.0,0.0,14.0,13.0,0.0,12.0,1.0,78.0,0.0,43.0,106.0,105.0,43.0,14.0,2509.0
98,South of Market,69.0,4674.0,21.0,19.0,1828.0,171.0,112.0,2736.0,304.0,104.0,15.0,15.0,695.0,1239.0,8.0,127.0,16826.0,110.0,90.0,1353.0,7375.0,7397.0,1.0,134.0,156.0,1400.0,40.0,478.0,383.0,12.0,390.0,27.0,2009.0,0.0,560.0,2604.0,1755.0,3400.0,427.0,59064.0
99,St. Francis Wood,0.0,8.0,0.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,57.0,0.0,0.0,3.0,20.0,29.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,2.0,15.0,20.0,4.0,0.0,211.0
100,St. Marys Park,1.0,76.0,1.0,1.0,22.0,2.0,3.0,21.0,1.0,1.0,1.0,0.0,4.0,11.0,0.0,2.0,98.0,0.0,0.0,18.0,72.0,161.0,0.0,0.0,11.0,24.0,1.0,21.0,4.0,0.0,3.0,0.0,30.0,0.0,1.0,58.0,89.0,25.0,6.0,769.0
101,Stonestown,0.0,114.0,1.0,0.0,104.0,2.0,4.0,29.0,2.0,17.0,1.0,0.0,28.0,85.0,0.0,4.0,900.0,0.0,2.0,24.0,164.0,300.0,0.0,0.0,2.0,64.0,1.0,14.0,3.0,0.0,18.0,2.0,75.0,0.0,19.0,98.0,122.0,59.0,9.0,2267.0
102,Sunnydale,8.0,544.0,0.0,3.0,166.0,4.0,2.0,97.0,3.0,3.0,1.0,3.0,12.0,19.0,1.0,15.0,123.0,1.0,1.0,88.0,164.0,405.0,0.0,0.0,31.0,86.0,4.0,118.0,26.0,1.0,9.0,2.0,117.0,0.0,20.0,276.0,145.0,141.0,98.0,2737.0
103,Sunnyside,3.0,176.0,2.0,3.0,68.0,8.0,2.0,54.0,3.0,1.0,0.0,1.0,23.0,34.0,0.0,0.0,469.0,1.0,8.0,49.0,229.0,312.0,1.0,2.0,5.0,40.0,1.0,34.0,16.0,1.0,13.0,3.0,100.0,0.0,16.0,151.0,174.0,49.0,20.0,2072.0
104,Sutro Heights,2.0,39.0,0.0,0.0,39.0,1.0,2.0,9.0,1.0,1.0,0.0,1.0,8.0,26.0,0.0,0.0,415.0,0.0,0.0,34.0,94.0,80.0,0.0,0.0,0.0,6.0,1.0,7.0,7.0,0.0,6.0,1.0,37.0,0.0,3.0,59.0,79.0,9.0,9.0,976.0
105,Telegraph Hill,0.0,35.0,0.0,0.0,93.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,3.0,324.0,1.0,0.0,4.0,96.0,84.0,0.0,0.0,2.0,21.0,0.0,7.0,3.0,0.0,11.0,0.0,33.0,0.0,11.0,82.0,65.0,15.0,2.0,927.0
106,Tenderloin,31.0,4035.0,7.0,7.0,603.0,302.0,63.0,8068.0,206.0,26.0,7.0,8.0,295.0,433.0,10.0,110.0,3561.0,112.0,55.0,467.0,3893.0,6340.0,2.0,481.0,103.0,1151.0,4.0,377.0,183.0,2.0,176.0,20.0,1293.0,0.0,436.0,912.0,574.0,3329.0,457.0,38139.0
107,Treasure Island,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,38.0
108,Union Street,2.0,224.0,3.0,0.0,216.0,5.0,4.0,36.0,11.0,7.0,0.0,1.0,18.0,59.0,0.0,3.0,934.0,3.0,0.0,19.0,282.0,280.0,0.0,2.0,5.0,46.0,2.0,19.0,8.0,0.0,24.0,1.0,97.0,0.0,16.0,183.0,167.0,55.0,9.0,2741.0
109,University Mound,1.0,92.0,0.0,1.0,56.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,3.0,119.0,0.0,0.0,41.0,67.0,166.0,0.0,0.0,15.0,51.0,2.0,12.0,5.0,0.0,8.0,0.0,40.0,0.0,1.0,66.0,147.0,23.0,15.0,982.0
110,Upper Market,1.0,54.0,0.0,0.0,66.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,20.0,22.0,0.0,0.0,248.0,0.0,0.0,12.0,98.0,102.0,0.0,0.0,3.0,4.0,0.0,16.0,2.0,0.0,3.0,2.0,39.0,0.0,2.0,53.0,143.0,11.0,2.0,915.0
111,Visitacion Valley,7.0,488.0,0.0,0.0,128.0,4.0,7.0,77.0,5.0,5.0,1.0,3.0,39.0,37.0,1.0,18.0,377.0,3.0,3.0,151.0,279.0,625.0,1.0,1.0,44.0,144.0,7.0,82.0,34.0,0.0,13.0,3.0,141.0,0.0,25.0,254.0,359.0,119.0,75.0,3560.0
