,sale_date,sale_price,pred_lr,pred_rf
23626,2013-05-29,13.308012724290958,13.72924168407917,13.710213008020721
22144,2013-05-29,13.161584090557609,13.285060182213783,13.100665908126572
1102,2013-05-29,13.652991628466498,13.646952345967293,13.572281045178393
587,2013-05-29,13.835313185260453,13.665145806968212,13.763385380698928
13773,2013-05-30,14.501129472103429,14.083980232477188,14.162747636759331
750,2013-05-30,13.8878312195439,13.804822228848934,13.747499668930258
1455,2013-05-30,13.440089571204489,13.384141318500042,13.537083665143022
15572,2013-05-30,14.346138809026446,14.800781823694706,14.796643185690163
10328,2013-05-30,13.739708844547991,13.784822717308998,13.469299650147038
5331,2013-05-30,13.764217263576725,13.799383997917175,13.701139193155994
9075,2013-05-30,15.118423310145113,14.561755277216434,14.337093143036125
9178,2013-05-30,14.827111469642755,14.520062111318111,14.445391290659414
12139,2013-05-30,14.557447902693653,14.264897361397743,14.329179359903938
705,2013-05-30,13.560618308335485,13.554039940237999,13.53857240228687
19363,2013-05-30,12.847926531702571,13.2490831092,13.097392579601738
4146,2013-05-31,13.592367006650065,13.512229695916176,13.67364813444624
10903,2013-05-31,14.557447902693653,14.38221450150013,14.674461700206303
4259,2013-05-31,13.681979165339751,13.878027401864529,13.59554359228904
7885,2013-05-31,14.19394699368452,14.725161649286747,14.414410352559837
536,2013-05-31,13.567049198665776,13.48200123757124,13.578136122258478
20708,2013-05-31,13.26212531977949,13.119057193398476,13.307064896345121
7868,2013-05-31,13.429848077152288,13.461179040372372,13.391777958626626
5519,2013-05-31,13.732128949025224,13.62488129734993,13.841478131200054
12997,2013-05-31,13.429848077152288,13.805583417415619,13.774766085293274
17778,2013-05-31,14.038654109278484,14.071722090244293,14.119766295380172
14451,2013-05-31,14.845129975145431,14.724030673503876,15.025485863047322
20635,2013-05-31,14.301018373745976,13.976068444550037,13.868216985539846
12071,2013-05-31,14.253765488895429,13.901151068508625,14.327091145265126
14942,2013-05-31,13.291261913866144,13.392679549753666,13.353246432879692
19056,2013-05-31,14.026581528044215,13.795537121593952,13.661771906995526
21794,2013-05-31,13.244581010128574,13.062489531934261,13.289824499199954
15839,2013-05-31,14.557447902693653,14.691647998988628,14.91568713404697
19170,2013-05-31,13.635187003832991,13.485541045665741,13.447070227392665
1447,2013-05-31,13.579788224443204,13.337084464728832,13.491093399914089
2449,2013-05-31,13.63877337946422,13.46936859935522,13.532290681196855
20456,2013-05-31,13.190022025878145,13.05372228473425,12.986401145605045
23144,2013-05-31,13.09190416991962,13.16177062690258,13.125592405114894
15793,2013-05-31,15.925723758310866,15.647138349711895,15.935480501443042
20497,2013-05-31,13.845069360205818,13.648942105472088,13.859843120443777
5065,2013-05-31,13.790192749979985,13.646247021853924,13.742098477513439
2580,2013-05-31,14.01436141670944,13.555021189153194,13.693207083564527
20598,2013-05-31,14.237504968023648,14.154035165905952,13.842303198574005
20614,2013-05-31,13.845069360205818,13.6241991892457,13.643418087012426
21348,2013-05-31,13.554145793829866,13.98062016069889,13.434314623550295
16974,2013-05-31,14.152030650583226,13.843328811228275,13.983849424377956
951,2013-05-31,13.687677186454387,13.675132974982262,13.624789518817337
22830,2013-06-03,12.61153775363834,12.97594714909792,13.07132711467823
16358,2013-06-03,13.981024996441848,14.184489794075489,14.036922827066192
1425,2013-06-03,13.521139497361697,13.769526727497578,13.641474006147282
21747,2013-06-03,13.304684934198285,13.265834003686905,13.325582051319063
2860,2013-06-04,13.795307850646756,13.565012276172638,13.630642860306523
13536,2013-06-04,13.933293593620654,13.82934159040451,13.947683975265482
6307,2013-06-04,14.50865773852422,14.073198534548283,14.494553055513018
4725,2013-06-04,14.15910026235435,14.223823457956314,13.9301403348845
17795,2013-06-04,14.346138809026446,14.067468971014023,14.190519737498986
16031,2013-06-04,14.557447902693653,14.859934151172638,14.825178142968037
282,2013-06-04,13.610943392223,13.533514566719532,13.516288157739423
13605,2013-06-05,13.541073712262516,13.565050311386585,13.493694214941733
1601,2013-06-05,13.521139497361697,13.340129926800728,13.683090144516402
5110,2013-06-05,13.485616636703186,13.52948446571827,13.790783182084464
21634,2013-06-05,13.864300722133706,13.766598217189312,13.891118509709857
20772,2013-06-05,13.465953081794405,13.496869288384914,13.558561234339916
2134,2013-06-05,13.623138665316818,13.562499821186066,13.669740725838471
17275,2013-06-05,13.997832114758227,13.925430834293365,13.7996110812579
4504,2013-06-05,13.9108207377686,14.099210664629936,14.12485476254323
18911,2013-06-05,13.924364962876355,13.597894012928009,13.85560877924067
20604,2013-06-05,14.557447902693653,14.536137238144875,15.028078653095323
773,2013-06-05,13.493926933836812,13.672639064490795,13.476418361517672
22658,2013-06-05,13.182517300224076,13.235835537314415,13.14884367474479
3275,2013-06-06,13.652991628466498,13.744406007230282,13.73119688983294
21887,2013-06-06,13.976778705560395,13.711163148283958,13.764445395121506
16765,2013-06-06,14.843342664571335,14.532312743365765,14.776322272715385
11220,2013-06-06,13.843125724997249,14.24153184890747,13.804890361559103
16614,2013-06-06,14.678400513111312,14.466086111962795,14.773044919318759
2215,2013-06-06,13.864300722133706,14.08479419350624,13.843744111421223
6975,2013-06-06,14.141210697603574,13.87749632447958,14.052227303467767
14326,2013-06-06,13.296316684527767,13.404842719435692,13.520345375946585
15587,2013-06-06,12.96195750793954,13.066850692033768,13.274559503578963
19460,2013-06-06,13.511021367196115,13.471608385443687,13.379505790579119
11837,2013-06-06,13.530491602931976,13.540567621588707,13.419925400288907
677,2013-06-06,13.617059619240436,13.572538800537586,13.521571160176668
10949,2013-06-07,14.01436141670944,14.255048789083958,14.21899410408475
2631,2013-06-07,14.75160391713461,14.548477105796337,14.67068925266603
2226,2013-06-07,14.150553201775892,13.864467687904835,14.00247312390372
3740,2013-06-07,15.082458161451598,14.774837501347065,14.886130371371207
7793,2013-06-07,14.369395671190713,14.468868754804134,14.708472504535196
7608,2013-06-07,13.617059619240436,13.83464678376913,13.817890549779246
249,2013-06-07,13.805460222110774,13.682159677147865,13.763141658535048
9493,2013-06-07,13.9108207377686,14.168716326355934,13.840477261479414
20206,2013-06-07,12.865921540688605,12.852348186075687,13.231232952226414
20230,2013-06-07,13.386264921190708,13.165976755321026,13.252450998613943
17399,2013-06-07,14.220975666072441,14.319077618420124,14.367597428497708
11721,2013-06-07,13.769466619462866,13.801607921719551,13.67860826737277
14101,2013-06-07,13.623138665316818,13.477605938911438,13.60755176588543
1627,2013-06-07,13.554145793829866,13.508071213960648,13.538126113609259
5926,2013-06-07,13.753635154246187,13.66893881559372,13.784513696379667
16941,2013-06-07,14.285514187210008,13.954215906560421,13.852476846160343
13715,2013-06-07,14.827111469642755,14.517250418663025,14.76176836640459
21392,2013-06-07,14.187074114396758,13.775911517441273,13.810328963728278
4390,2013-06-07,13.937728190688524,14.143112242221832,13.913362912423775
16016,2013-06-07,12.89921982609012,13.2296177521348,13.118801451418326
14105,2013-06-07,14.417090544998727,14.188508152961731,14.35257741493821
6395,2013-06-07,14.279244574196415,14.402496755123138,14.077701227886752
16651,2013-06-08,14.077874822431765,13.95027457177639,13.870797063331475
22560,2013-06-08,12.86876061860541,12.95004665851593,12.969086766504674
19529,2013-06-10,13.366093562326927,13.5068214610219,13.391160205781944
20022,2013-06-10,13.38472764187182,13.246394202113152,13.335515713051443
9990,2013-06-10,13.592367006650065,13.532910093665123,13.55002962715341
13373,2013-06-10,13.393916067926225,13.557286687195301,13.414626707116986
2926,2013-06-11,13.727771643656268,13.916522733867168,13.884139029258634
8630,2013-06-11,14.301018373745976,13.92352956533432,14.129505163348767
23584,2013-06-11,12.978493006984625,12.720482170581818,13.02277633420311
10,2013-06-11,13.64709190633931,13.543892376124859,13.679452242478817
23291,2013-06-11,14.480772535034685,14.489950954914093,14.702637863832713
16745,2013-06-11,15.039285989586391,14.652123466134071,14.674401736403158
23172,2013-06-11,13.304684934198285,13.026553496718407,13.025814298454018
13447,2013-06-11,13.465953081794405,13.553796708583832,13.52691143360824
2853,2013-06-11,13.534473028231163,13.63660142570734,13.488903237297214
16071,2013-06-11,13.997832114758227,13.670619539916515,13.717526439512117
14688,2013-06-11,14.115615150414612,14.150280311703682,14.265528696678736
8692,2013-06-11,13.87377946608825,13.657472103834152,13.756262174172727
6885,2013-06-11,13.249876697703288,13.32582975924015,13.342977425231062
6980,2013-06-12,13.774688563444018,13.781902953982353,13.82058651321013
783,2013-06-12,13.418013619505286,13.33479230850935,13.59076420651597
10896,2013-06-12,13.869051324892304,13.828667156398296,13.861112805550828
13428,2013-06-12,14.808762330974558,14.833275683224201,15.040569091804407
19592,2013-06-12,13.122363377404328,13.35706328600645,13.389064801425501
9414,2013-06-12,13.142166004700508,13.030434675514698,13.173170296862134
22775,2013-06-12,12.999065161059836,13.213486514985561,13.15079314356818
5613,2013-06-12,13.790192749979985,13.98326239734888,13.99078266220493
2098,2013-06-12,13.701221411562145,13.569260463118553,13.613684209149973
16062,2013-06-12,14.31142556899451,14.317793227732182,14.216286523102596
12701,2013-06-12,13.933293593620654,14.13491027802229,14.015844123557818
10407,2013-06-12,13.604789526648624,13.324282668530941,13.40517725653744
18581,2013-06-12,13.345506928718539,13.605628781020641,13.360219944431444
22147,2013-06-12,14.237504968023648,13.950816214084625,13.876808812402315
13485,2013-06-13,14.240778293368619,13.977957464754581,14.094311131215532
9647,2013-06-13,13.652991628466498,13.509052440524101,13.493228771015987
