,sale_date,neighborhood
249,2013-06-07,Outer Richmond
250,2011-08-08,Outer Richmond
251,2014-12-02,Outer Sunset
252,2014-08-12,Outer Richmond
253,2010-04-16,Outer Sunset
254,2011-03-24,Outer Richmond
255,2012-03-23,Outer Richmond
256,2012-08-15,Outer Sunset
257,2018-01-09,Outer Sunset
258,2017-07-20,Outer Richmond
259,2016-12-22,Outer Richmond
260,2018-11-30,Outer Richmond
261,2011-11-09,Outer Sunset
262,2011-11-01,Outer Sunset
263,2011-05-20,Outer Richmond
264,2010-07-13,Outer Sunset
265,2011-05-27,Outer Sunset
266,2015-02-20,Outer Sunset
267,2011-07-15,Outer Sunset
268,2013-11-05,Outer Sunset
269,2018-09-14,Outer Sunset
270,2012-02-17,Outer Sunset
271,2016-10-07,Sutro Heights
272,2014-05-23,Outer Sunset
273,2011-07-08,Outer Sunset
274,2009-06-30,Outer Sunset
275,2009-11-25,Outer Sunset
276,2015-12-11,Outer Sunset
277,2018-04-25,Outer Sunset
278,2016-04-30,Outer Sunset
279,2016-06-07,Outer Sunset
280,2016-09-30,Outer Sunset
281,2013-05-02,Outer Sunset
282,2013-06-04,Outer Sunset
283,2011-02-23,Outer Sunset
284,2011-06-30,Outer Sunset
285,2011-11-21,Outer Sunset
286,2014-05-16,Sutro Heights
287,2012-09-13,Sutro Heights
288,2010-10-27,Outer Sunset
289,2011-05-13,Outer Sunset
290,2011-09-15,Sutro Heights
291,2017-10-31,Sutro Heights
292,2010-06-17,Outer Sunset
293,2010-12-15,Outer Sunset
294,2010-12-15,Outer Sunset
295,2016-10-26,Outer Sunset
296,2010-07-30,Outer Sunset
297,2011-04-12,Sutro Heights
298,2014-09-09,Outer Sunset
299,2017-06-30,Outer Sunset
300,2009-12-15,Outer Sunset
301,2011-05-13,Outer Sunset
302,2009-10-23,Outer Sunset
303,2009-07-09,Outer Sunset
304,2015-09-25,Outer Sunset
305,2015-09-11,Outer Sunset
306,2015-03-26,Outer Sunset
307,2015-10-15,Parkside
308,2017-11-01,Sutro Heights
309,2010-07-21,Parkside
310,2016-03-18,Outer Sunset
311,2012-11-29,Outer Sunset
312,2010-04-23,Outer Sunset
313,2010-06-18,Outer Sunset
314,2015-03-24,Sutro Heights
315,2015-03-24,Outer Richmond
316,2015-03-24,Sutro Heights
317,2015-03-24,Outer Richmond
318,2016-06-01,Outer Sunset
319,2015-05-22,Outer Sunset
320,2014-06-10,Outer Sunset
321,2015-07-16,Parkside
322,2017-04-07,Outer Sunset
323,2016-08-26,Sutro Heights
324,2011-02-28,Parkside
325,2015-04-07,Outer Sunset
326,2012-04-10,Sutro Heights
327,2013-09-26,Outer Sunset
328,2009-02-20,Outer Sunset
329,2014-10-07,Sutro Heights
330,2016-06-22,Outer Sunset
331,2017-06-29,Outer Sunset
332,2015-08-17,Outer Sunset
333,2010-03-02,Outer Sunset
334,2012-11-28,Sutro Heights
335,2010-11-05,Sutro Heights
336,2012-01-19,Sutro Heights
337,2015-08-14,Sutro Heights
338,2012-07-17,Outer Sunset
339,2010-08-12,Sutro Heights
340,2010-05-14,Outer Sunset
341,2018-11-19,Outer Sunset
342,2014-05-02,Outer Sunset
343,2013-05-17,Outer Sunset
344,2014-09-25,Sutro Heights
345,2016-11-02,Outer Sunset
346,2010-09-21,Outer Sunset
347,2013-09-13,Outer Sunset
348,2014-08-20,Outer Sunset
349,2013-06-26,Outer Sunset
350,2009-10-15,Outer Sunset
351,2017-12-08,Outer Sunset
352,2013-03-01,Outer Sunset
353,2012-11-28,Outer Sunset
354,2011-12-21,Sutro Heights
355,2013-12-24,Sutro Heights
356,2018-03-27,Sutro Heights
357,2011-01-21,Outer Sunset
358,2011-08-04,Outer Sunset
359,2018-02-28,Outer Sunset
360,2012-05-30,Outer Sunset
361,2013-04-19,Outer Richmond
362,2017-03-31,Outer Sunset
363,2010-08-20,Sutro Heights
364,2009-11-19,Sutro Heights
365,2017-10-31,Sutro Heights
366,2011-08-30,Parkside
367,2010-07-02,Outer Sunset
368,2014-10-24,Outer Sunset
369,2015-12-30,Outer Sunset
370,2017-05-17,Outer Sunset
371,2018-05-22,Outer Sunset
372,2014-12-02,Sutro Heights
373,2013-08-02,Outer Sunset
374,2017-06-14,Outer Sunset
375,2011-01-14,Outer Sunset
376,2016-04-29,Outer Sunset
377,2011-02-18,Outer Sunset
378,2016-06-23,Outer Sunset
379,2012-07-18,Outer Sunset
380,2014-08-08,Outer Sunset
381,2013-08-28,Sutro Heights
382,2012-05-11,Sutro Heights
383,2013-03-26,Sutro Heights
384,2014-01-03,Sutro Heights
385,2017-03-23,Sutro Heights
386,2016-06-28,Outer Sunset
387,2013-07-12,Sutro Heights
388,2018-08-17,Sutro Heights
389,2010-08-24,Outer Sunset
390,2010-06-25,Outer Sunset
391,2017-10-27,Outer Sunset
392,2017-12-22,Outer Sunset
393,2018-08-31,Outer Sunset
394,2014-06-11,Outer Sunset
395,2018-08-22,Outer Sunset
396,2011-08-16,Outer Sunset
397,2013-05-15,Outer Sunset
398,2010-09-17,Outer Sunset
399,2018-08-08,Outer Sunset
400,2015-11-20,Outer Sunset
401,2016-01-29,Outer Sunset
402,2017-12-06,Outer Sunset
403,2018-08-02,Outer Sunset
404,2009-01-13,Outer Sunset
405,2012-06-07,Outer Richmond
406,2016-04-22,Outer Sunset
407,2009-01-26,Outer Sunset
408,2014-07-22,Outer Sunset
409,2018-07-03,Outer Sunset
410,2014-02-28,Outer Richmond
411,2010-11-18,Outer Richmond
412,2016-05-27,Outer Sunset
413,2016-09-23,Outer Sunset
414,2018-10-12,Outer Sunset
415,2014-05-20,Outer Sunset
416,2017-03-17,Outer Sunset
417,2011-05-10,Outer Richmond
418,2011-12-09,Outer Richmond
419,2013-08-14,Outer Richmond
420,2012-06-27,Outer Sunset
421,2012-05-18,Outer Sunset
422,2013-01-15,Outer Richmond
423,2014-09-05,Outer Sunset
424,2011-12-15,Outer Sunset
425,2010-06-30,Outer Sunset
426,2009-10-27,Outer Sunset
427,2012-08-23,Outer Richmond
428,2015-07-01,Outer Sunset
429,2011-04-22,Outer Sunset
430,2013-07-19,Outer Sunset
431,2015-10-15,Outer Sunset
432,2014-06-24,Outer Sunset
433,2013-09-13,Outer Richmond
434,2009-12-04,Outer Richmond
435,2016-11-04,Outer Sunset
436,2015-08-11,Parkside
